"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"
"013c60ced404f618257c6893922f8571"	"Animalia"	"Arthropoda"	""	""	""	""	""
"01418ad26600bdbf2d363af9c2757b8f"	"Animalia"	"Arthropoda"	"Insecta"	"Lepidoptera"	""	""	""
"014d1e8e7b9e69d60b351f4165d41873"	"Animalia"	"Arthropoda"	"Insecta"	"Hymenoptera"	""	""	""
"014dc09bd3b203ab7ae4876c472e49b8"	"Animalia"	"Arthropoda"	""	""	""	""	""
"014f744e1ed28ed05597788a23a2b1b7"	"Animalia"	"Arthropoda"	"Insecta"	"Hymenoptera"	""	""	""
"015faf49e042ce49a1c4879121964310"	"Animalia"	"Arthropoda"	"Collembola"	"Entomobryomorpha"	"Entomobryidae"	"Entomobrya"	"Entomobrya albocincta"
"017137747a9b7674bb9a34772ec6de0a"	"Animalia"	"Arthropoda"	"Insecta"	"Hemiptera"	"Aphididae"	""	""
"01741f1e4702133a8f4b5d0a9fa8c1ea"	"Animalia"	"Arthropoda"	""	""	""	""	""
"0178cf67e8211c143412300d4a82d2de"	"Animalia"	"Arthropoda"	"Insecta"	"Hymenoptera"	"Ichneumonidae"	"Pristomerus"	"Pristomerus sp. 12MKC"
"0184d75728022edb5b4c719cc4e5210b"	"Animalia"	"Arthropoda"	""	""	""	""	""
"018a7acc31b23e6ccd837d47284be7e2"	"Animalia"	"Arthropoda"	"Insecta"	"Lepidoptera"	"Erebidae"	"Hydrillodes"	"Hydrillodes sp."
"018d81b8ddbd3914e9d6c98a9669fd5f"	"Animalia"	"Arthropoda"	"Insecta"	""	""	""	""
"01a058bc8e57e3fb22d47c482fb77894"	"Animalia"	"Arthropoda"	"Insecta"	""	""	""	""
"01a91bdd8bfe140f4c8ca5e77fdb9ff6"	"Animalia"	"Arthropoda"	"Insecta"	"Diptera"	""	""	""
"01cf443613ecc2eee8b9a72615b5d8ad"	"Animalia"	"Arthropoda"	""	""	""	""	""
"0206c480e811248ced2c66b87a8464d0"	"Animalia"	"Arthropoda"	"Insecta"	""	""	""	""
"0229448dfbb263a6c11f58c747254003"	"Animalia"	"Arthropoda"	""	""	""	""	""
"023b31161a9d59b97f546d7f359a4861"	"Animalia"	"Arthropoda"	"Insecta"	"Lepidoptera"	""	""	""
"02618bac6fdb490d2dd0d4d05063a334"	"Animalia"	"Arthropoda"	"Insecta"	"Lepidoptera"	""	""	""
"0268ec6380dde8328876923ef3a99678"	"Animalia"	"Arthropoda"	"Insecta"	"Lepidoptera"	""	""	""
"0282c13d117e48dd4ae2f7918b654831"	"Animalia"	"Arthropoda"	"Insecta"	"Lepidoptera"	""	""	""
"02844bf9189fb2bcbbc5eb0c073d8585"	"Animalia"	"Annelida"	"Clitellata"	"Enchytraeida"	""	""	""
"028533a8c0e142c8124041e28cdf5ca9"	"Animalia"	"Arthropoda"	""	""	""	""	""
"02907b18bd5bf3d5a49b434b7b48bd96"	"Animalia"	"Arthropoda"	"Insecta"	"Lepidoptera"	"Tineidae"	"Opogona"	"Opogona omoscopa"
"02a4c35b2788bf22c2c08019b1693140"	"Animalia"	"Arthropoda"	"Insecta"	""	""	""	""
"02b8f528af2daedf495f4c58ba00400c"	"Animalia"	"Arthropoda"	"Insecta"	"Lepidoptera"	""	""	""
"02c6edf99a78b7175e3eea42319737c7"	"Animalia"	"Arthropoda"	"Insecta"	"Lepidoptera"	""	""	""
"02d38a8ba5cc3dbf3463339a06d5e2db"	"Animalia"	"Mollusca"	"Gastropoda"	"Pulmonata"	"Philomycidae"	"Meghimatium"	"Meghimatium bilineatum"
"02d8c954221a7f07c77f66b941fd862a"	"Animalia"	"Arthropoda"	"Insecta"	"Lepidoptera"	""	""	""
"02da6fe120022214912981d1f24e87d5"	"Animalia"	"Arthropoda"	"Arachnida"	"Sarcoptiformes"	""	""	""
"02f672de53dcdb5b00014e5e248c2d9e"	"Animalia"	"Arthropoda"	"Arachnida"	"Araneae"	"Theridiidae"	"Theridion"	"Theridion grallator"
"02f68acd4e4ed53c8aad35532020305d"	"Animalia"	"Arthropoda"	"Arachnida"	"Araneae"	""	""	""
"031025e033aa82372a53d37f1b615b99"	"Animalia"	"Arthropoda"	"Insecta"	"Diptera"	""	""	""
"0324b3a3f50ace91e3503a63bb0e2f57"	"Animalia"	"Arthropoda"	""	""	""	""	""
"0336e2b540983751910c184695dbff9d"	"Animalia"	"Arthropoda"	""	""	""	""	""
"033986a207bfa28876934f75b53b560e"	"Animalia"	"Arthropoda"	"Arachnida"	"Araneae"	""	""	""
"033e548b158dfa3654e7ecfd7dfca779"	"Animalia"	"Arthropoda"	"Insecta"	"Lepidoptera"	"Tortricidae"	"Epiphyas"	""
"034b15b06473906fbaaed2294a511e4b"	"Animalia"	"Arthropoda"	""	""	""	""	""
"035e936ce80cba6648d55ccdb3b03832"	"Animalia"	"Arthropoda"	"Insecta"	"Lepidoptera"	""	""	""
"0360838e6a1474fe5c6d7de13d916d87"	"Animalia"	"Arthropoda"	"Insecta"	"Lepidoptera"	""	""	""
"03659e316efdd323a4cdb72b4a31f678"	"Animalia"	""	""	""	""	""	""
"0365d8f6f9a518ea6fdd4eefbe89a8e3"	"Animalia"	"Arthropoda"	""	""	""	""	""
"039d479555972091df3d42216ca9ee11"	"Animalia"	"Arthropoda"	"Insecta"	"Coleoptera"	""	""	""
"03a2bd07ca97fdaeac5846fb19092999"	"Animalia"	"Arthropoda"	"Insecta"	"Lepidoptera"	""	""	""
"03c01d6b5e9aeb94238d4bf941bb231b"	"Animalia"	"Arthropoda"	"Insecta"	""	""	""	""
"03d2c97e94ef6725c3c07cb5940ef222"	"Animalia"	"Arthropoda"	"Insecta"	"Hemiptera"	"Psyllidae"	""	""
"03ea1b387cd113f56f89e5dddb7b4562"	"Animalia"	"Arthropoda"	"Insecta"	"Diptera"	""	""	""
"03eb0ebe17ae88edc0988b58d1f10d46"	"Animalia"	"Arthropoda"	"Insecta"	"Lepidoptera"	""	""	""
"0405d9ca6ee0746c8b8ac2e6f9bd09a8"	"Animalia"	"Arthropoda"	""	""	""	""	""
"041553e40a17b49bf4bef5f63c61a199"	"Animalia"	"Arthropoda"	""	""	""	""	""
"042b769ddbe13544d969840e74143618"	"Animalia"	"Arthropoda"	"Insecta"	"Lepidoptera"	""	""	""
"043b99eb04fffab4fee4f1944340a577"	"Animalia"	"Arthropoda"	""	""	""	""	""
"044a46a21f3936c01e477117086ea927"	"Animalia"	"Arthropoda"	"Insecta"	"Lepidoptera"	""	""	""
"04570a8be28d24e8b697c7aa73c01709"	"Animalia"	"Arthropoda"	""	""	""	""	""
"046261b5335ac0737406376be0d91ff1"	"Animalia"	"Arthropoda"	""	""	""	""	""
"046ec34ec316517fc9dbb3d25075dc28"	"Animalia"	"Arthropoda"	""	""	""	""	""
"047e584b8a433915cc344488e541d3f5"	"Animalia"	"Arthropoda"	"Arachnida"	"Araneae"	"Theridiidae"	"Theridion"	"Theridion grallator"
"048443cd5b273dc1f44fc560c2e0e24a"	"Animalia"	"Arthropoda"	""	""	""	""	""
"04972723157d6af577cf36471822139d"	"Animalia"	"Arthropoda"	"Insecta"	"Lepidoptera"	""	""	""
"04a1e2bf58a17d8fb3ec04ba7be730e7"	"Animalia"	"Arthropoda"	"Insecta"	"Lepidoptera"	""	""	""
"04a51415a41ad8d938795c4ec1ca485d"	"Animalia"	"Arthropoda"	""	""	""	""	""
"04b42ada87be68428056a4b8ad17fc85"	"Animalia"	"Arthropoda"	""	""	""	""	""
"04d18af8e2bf60784f31978d7581fb97"	"Animalia"	"Chordata"	"Aves"	"Passeriformes"	"Fringillidae"	"Oreomystis"	"Oreomystis bairdi"
"04d18df5dacab81b343d532fc8b56ff1"	"Animalia"	"Arthropoda"	"Insecta"	"Diptera"	""	""	""
"04d6ed7008568cfcc3f68575343096d1"	"Animalia"	"Arthropoda"	""	""	""	""	""
"04f77cc924c4695ef542350201789086"	"Animalia"	"Arthropoda"	"Arachnida"	"Araneae"	"Theridiidae"	""	""
"051553f87cc1a71dde5b8059d90d0810"	"Animalia"	"Arthropoda"	"Insecta"	"Hemiptera"	"Psyllidae"	""	""
"051ca4d91796b8daff45648b548e73d3"	"Animalia"	"Arthropoda"	""	""	""	""	""
"053e13b6c44f193f289f22c666eac399"	"Animalia"	"Arthropoda"	""	""	""	""	""
"0549e4f54bc6c06d4955b8ae10a75b8a"	"Animalia"	"Rotifera"	"Bdelloidea"	""	""	""	""
"054c1eaf49af52f8606af59b37bdade6"	"Animalia"	"Arthropoda"	"Insecta"	"Hemiptera"	"Delphacidae"	""	""
"054e211118f707d4346e14381ae22496"	"Animalia"	"Arthropoda"	""	""	""	""	""
"055671cd1fe9445ce209bc8ecfbe9a07"	"Animalia"	"Arthropoda"	"Insecta"	"Coleoptera"	""	""	""
"0565689fc1252959881907dc7ecd0d3a"	"Animalia"	"Arthropoda"	"Insecta"	"Lepidoptera"	""	""	""
"0567ec48d20facd07425d1729d7c0bc2"	"Animalia"	"Arthropoda"	"Insecta"	"Diptera"	""	""	""
"057fa9ee4d4f2cdb67138eb4f706648f"	"Animalia"	"Arthropoda"	"Arachnida"	"Araneae"	"Philodromidae"	""	""
"05c1b543ff31495edd475b8db77912a9"	"Animalia"	"Arthropoda"	"Insecta"	"Orthoptera"	"Trigonidiidae"	""	""
"05d33694faf442787be858992499c257"	"Animalia"	"Arthropoda"	"Insecta"	""	""	""	""
"05e1d752f6ef43309a5ad805b2df0bfa"	"Animalia"	"Arthropoda"	"Insecta"	"Lepidoptera"	""	""	""
"05e270ace2eadcb05fdb12e578254202"	"Animalia"	"Mollusca"	"Gastropoda"	""	""	""	""
"05ec3dc21db21d698493032818bdebc2"	"Animalia"	"Arthropoda"	"Insecta"	"Diptera"	""	""	""
"05f12b203283db40c6f83cdf9841c19a"	"Animalia"	"Arthropoda"	"Insecta"	"Lepidoptera"	""	""	""
"0604d5b77cc1e501b827b573ed8ba2d6"	"Animalia"	"Arthropoda"	""	""	""	""	""
"0605b15c9828a7eb9fc64108b7d7ede6"	"Animalia"	"Arthropoda"	""	""	""	""	""
"0612852b3dac5b981c029df8d599d45c"	"Animalia"	"Arthropoda"	"Insecta"	"Lepidoptera"	""	""	""
"061a2e0dee735d30daa4f9cfd873dea8"	"Animalia"	"Arthropoda"	""	""	""	""	""
"061bf3519bdab295e915b45d617a90f6"	"Animalia"	"Arthropoda"	"Arachnida"	"Araneae"	"Theridiidae"	"Theridion"	"Theridion grallator"
"0625aa553526bc033095711a7e3fd05f"	"Animalia"	"Arthropoda"	""	""	""	""	""
"0626e48d430f3fae2a977c655f6d6dd7"	"Animalia"	""	""	""	""	""	""
"062b19e236d4f2fbc3a6b8bca213fafb"	"Animalia"	"Arthropoda"	"Insecta"	"Lepidoptera"	""	""	""
"063877ee3064d9f7851ee58b2d8a9f78"	"Animalia"	"Arthropoda"	""	""	""	""	""
"0638d4fe593fbde8c18806e00512ee5f"	"Animalia"	"Arthropoda"	"Insecta"	"Diptera"	""	""	""
"063c6ba22c191c4c24cee8975c24ff73"	"Animalia"	"Arthropoda"	""	""	""	""	""
"06547f9fea4eff13e13050669ba415e0"	"Animalia"	"Arthropoda"	""	""	""	""	""
"065ee89cc2fdf31a01fd3b4938e1d472"	"Animalia"	"Arthropoda"	"Insecta"	"Hemiptera"	"Aphididae"	"Acyrthosiphon"	"Acyrthosiphon pisum"
"0661829234501f832c26bf807e25ac00"	"Animalia"	"Arthropoda"	"Insecta"	"Lepidoptera"	""	""	""
"066a39658033e83870b9d893044c06c1"	"Animalia"	"Rotifera"	"Bdelloidea"	"Adinetida"	"Adinetidae"	"Adineta"	"Adineta vaga"
"06993d5557fc9b675dc38fa6207121a2"	"Animalia"	"Arthropoda"	""	""	""	""	""
"069e3a3593e9df7d425954ac78b3fd5b"	"Animalia"	"Arthropoda"	"Insecta"	"Lepidoptera"	""	""	""
"06acfbc06782eddfe639084bbc980b54"	"Animalia"	"Arthropoda"	""	""	""	""	""
"06b9f84ef354b32f561dd5e446f2878f"	"Animalia"	"Arthropoda"	""	""	""	""	""
"06c330079717dde331e25886998a7b25"	"Animalia"	"Arthropoda"	""	""	""	""	""
"06c79a16ee1cabe53d51b6fe7896cbb1"	"Animalia"	"Arthropoda"	"Insecta"	"Lepidoptera"	""	""	""
"06cbc38d65591d557ffed278ea6ce24f"	"Animalia"	"Arthropoda"	"Insecta"	"Hemiptera"	"Aphididae"	"Cinara"	"Cinara watsoni"
"06d7f275cc4690f29e93385165454568"	"Animalia"	"Arthropoda"	"Insecta"	"Lepidoptera"	""	""	""
"06e3384f5cf59367e65a9f3e7bfaf133"	"Animalia"	"Arthropoda"	"Insecta"	"Diptera"	""	""	""
"06f21b427320f56626e9713f3de4afab"	"Animalia"	"Arthropoda"	""	""	""	""	""
"06fa6380fa25e691ded3b53fad440722"	"Animalia"	"Arthropoda"	"Insecta"	"Lepidoptera"	""	""	""
"0703b46bc1c1ee5f1c2bcf90c6a342ae"	"Animalia"	"Arthropoda"	""	""	""	""	""
"070b400bbb4db06e793682c62658baad"	"Animalia"	"Arthropoda"	""	""	""	""	""
"07164334c92bccc7c9263bc1100f767a"	"Animalia"	"Arthropoda"	"Arachnida"	"Araneae"	""	""	""
"07171abab0850ac5540a72d58b64b838"	"Animalia"	"Arthropoda"	""	""	""	""	""
"07289bd7d8bc038ea87b13f9b4a3de0e"	"Animalia"	"Arthropoda"	"Insecta"	""	""	""	""
"072b888078bef4536d88c1290b132169"	"Animalia"	"Arthropoda"	""	""	""	""	""
"07331130e79d58a8d91ff546b6a20b8c"	"Animalia"	"Arthropoda"	"Insecta"	"Lepidoptera"	""	""	""
"0741bf5e6246f2cfd3c087288e8e28ce"	"Animalia"	"Arthropoda"	"Insecta"	"Diptera"	"Chironomidae"	"Eukiefferiella"	"Ambiguous_taxa"
"074f7cc1558a5312082f65ce2a6e3ad8"	"Animalia"	"Arthropoda"	""	""	""	""	""
"0755e1638a7b6d5aae81e4aa02fd1e9b"	"Animalia"	"Arthropoda"	""	""	""	""	""
"075c5ef7d29d1ebf5ab3e5e5d0df0d4b"	"Animalia"	"Arthropoda"	""	""	""	""	""
"075f1fdcfc3d80400d1567c409b578d1"	"Animalia"	"Arthropoda"	""	""	""	""	""
"0761a456192bdd8d356a71285de25ba5"	"Animalia"	""	""	""	""	""	""
"076aa34c4e2a48b849ce4fdaa8a62d74"	"Animalia"	"Arthropoda"	"Insecta"	"Lepidoptera"	""	""	""
"07934da1c30c6b4deeff7ac51974b6a4"	"Animalia"	"Arthropoda"	""	""	""	""	""
"0798b8fb38d64e9e046aee804e7d09f7"	"Animalia"	"Arthropoda"	""	""	""	""	""
"07a48d7e599d2cbc768daf22e2cd2d6b"	"Animalia"	"Arthropoda"	"Insecta"	"Lepidoptera"	""	""	""
"07af6a76fbde680862ec9eb7885020c2"	"Animalia"	"Arthropoda"	"Insecta"	"Lepidoptera"	""	""	""
"07b122089e505d843bea8ed332bb8242"	"Animalia"	"Arthropoda"	"Insecta"	"Lepidoptera"	""	""	""
"07b5feebaac5113de5ef0c330d96fbb1"	"Animalia"	"Arthropoda"	"Insecta"	"Lepidoptera"	""	""	""
"07bc5026c3e288dc9b2ebd84f7bb7a7f"	"Animalia"	"Arthropoda"	"Insecta"	""	""	""	""
"07ec32d4e4d5685f461fae4dc03cf45b"	"Animalia"	"Arthropoda"	"Insecta"	"Lepidoptera"	""	""	""
"07fd6154b5e7997ad50894f7e5f5a32d"	"Animalia"	"Arthropoda"	"Insecta"	"Diptera"	""	""	""
"08090a156b35c9b2d4a74a3c140061ac"	"Animalia"	"Arthropoda"	"Insecta"	"Lepidoptera"	""	""	""
"0810714de6fc9f416d11f0343b62f4ac"	"Animalia"	"Arthropoda"	""	""	""	""	""
"08126b847593df60c15648b184ef2d4b"	"Animalia"	""	""	""	""	""	""
"0813022741bf200643ac8ca0092c67a4"	"Animalia"	"Arthropoda"	"Arachnida"	"Araneae"	"Theridiidae"	"Theridion"	"Theridion grallator"
"0824f4f8b6cb74d81ddbad5c7b451f32"	"Animalia"	"Arthropoda"	"Insecta"	"Lepidoptera"	""	""	""
"082681f201edcc66703bcec44cdac678"	"Animalia"	"Arthropoda"	"Insecta"	"Lepidoptera"	""	""	""
"082ef51f86e0458becb5740381a9a47d"	"Animalia"	"Arthropoda"	"Insecta"	"Lepidoptera"	""	""	""
"0830e51a02e805525d952ac64bb1747c"	"Animalia"	"Arthropoda"	"Insecta"	"Lepidoptera"	"Tineidae"	"Opogona"	"Opogona omoscopa"
"0830fce139ca4e544772fa774716a362"	"Animalia"	"Arthropoda"	"Insecta"	"Hymenoptera"	""	""	""
"083340e988eb229f2e7f7030a9d75255"	"Animalia"	"Arthropoda"	"Insecta"	"Lepidoptera"	""	""	""
"0837d62a2ea1deec3aa34ca1cfa55c48"	"Animalia"	"Arthropoda"	"Insecta"	"Diptera"	""	""	""
"0849223b246d8b00117a8d5778f00ced"	"Animalia"	"Arthropoda"	"Insecta"	"Lepidoptera"	""	""	""
"0865cf0c9a6270d6759b84e5f95966b0"	"Animalia"	"Arthropoda"	""	""	""	""	""
"08b2fb569e0eec31d8f222b9e425d5f1"	"Animalia"	"Arthropoda"	""	""	""	""	""
"08e2a8bdcfce6ca9362b07c024f65e01"	"Animalia"	"Arthropoda"	"Insecta"	"Hemiptera"	""	""	""
"08fb2ee82ee2bbb7335c09a6dfa78e2e"	"Animalia"	"Arthropoda"	""	""	""	""	""
"08fe58ca5e9e7cf357e1790e1da6995d"	"Animalia"	"Arthropoda"	"Insecta"	""	""	""	""
"090335d877f804e7c037260ed1506d21"	"Animalia"	"Arthropoda"	"Insecta"	""	""	""	""
"090e4e8cc492b43a5c9adc88727af5fa"	"Animalia"	"Arthropoda"	""	""	""	""	""
"091b5af949ed6eeb6dc203e68b68e3cc"	"Animalia"	"Arthropoda"	"Insecta"	"Lepidoptera"	""	""	""
"092bebe00d32da3e8413ce3cc939a404"	"Animalia"	"Arthropoda"	""	""	""	""	""
"0930466ab0519420334952837b67cf20"	"Animalia"	"Arthropoda"	""	""	""	""	""
"09358df0a571cbc81ed90623d17388fa"	"Animalia"	"Arthropoda"	""	""	""	""	""
"094d4cbdd50d11f4e68a45734d6a693a"	"Animalia"	""	""	""	""	""	""
"09601b2c002df31733f00264bf56a293"	"Animalia"	""	""	""	""	""	""
"0964574249f2dc62045d3211cd448b60"	"Animalia"	"Arthropoda"	"Arachnida"	"Araneae"	""	""	""
"0966e63a70a35ae7d8998156bb02fdf0"	"Animalia"	"Arthropoda"	""	""	""	""	""
"09689b6992d503c51631ff75d62ab91e"	"Animalia"	"Arthropoda"	"Insecta"	"Coleoptera"	"Carabidae"	"Mecyclothorax"	""
"099a2bb721cc8df8e02784434a53abf5"	"Animalia"	"Arthropoda"	""	""	""	""	""
"099fa5c83b496665fb1f299239bdf620"	"Animalia"	"Rotifera"	"Bdelloidea"	""	""	""	""
"09c1c74c18e18cea50093e7651438a0b"	"Animalia"	"Arthropoda"	"Insecta"	""	""	""	""
"09c49579db4fd5e3eb6641770ad72695"	"Animalia"	"Arthropoda"	"Insecta"	""	""	""	""
"09e468ef727fa7f641ef42bb4d7a3e74"	"Animalia"	"Arthropoda"	""	""	""	""	""
"09f81fdd55ce31feddb43d02650a55de"	"Animalia"	"Arthropoda"	"Insecta"	"Psocodea"	"Psocidae"	""	""
"0a0d7ca98d32d04d81dbe549d8752055"	"Animalia"	"Arthropoda"	"Arachnida"	"Araneae"	"Philodromidae"	""	""
"0a10fd0447c288dc54a1ee8729893d0c"	"Animalia"	"Arthropoda"	""	""	""	""	""
"0a13c2992111b287e453985339ab7f51"	"Animalia"	"Arthropoda"	"Insecta"	"Lepidoptera"	""	""	""
"0a223682e2527f3e2c837ca86b8b484f"	"Animalia"	"Arthropoda"	"Insecta"	"Diptera"	""	""	""
"0a3435e4663b136b190d60074928c988"	"Animalia"	"Arthropoda"	""	""	""	""	""
"0a3dc77747300619ea2cd8a62b9d051e"	"Animalia"	"Arthropoda"	""	""	""	""	""
"0a44efddff83b4e39cd17ed4a2e533e9"	"Animalia"	"Arthropoda"	""	""	""	""	""
"0a50ac0ff808e52b7d1dc9b27d633f0e"	"Animalia"	"Arthropoda"	""	""	""	""	""
"0a55e12a8138e61ab769c7f42761bdec"	"Animalia"	"Arthropoda"	"Arachnida"	"Araneae"	"Philodromidae"	""	""
"0a59b167ef490bfd6b23c2c3b516ffbc"	"Animalia"	"Arthropoda"	"Arachnida"	"Araneae"	""	""	""
"0a618e404677ed17fb32a5db6dc79728"	"Animalia"	"Arthropoda"	""	""	""	""	""
"0a6f7a4df9d6bdadfabe79c3981ec430"	"Animalia"	"Arthropoda"	"Insecta"	"Lepidoptera"	""	""	""
"0a6fb65d1ceeaa0bf3d01116db2f6634"	"Animalia"	"Arthropoda"	""	""	""	""	""
"0a76b8d47fccdda03b4aafeebaacd331"	"Animalia"	"Arthropoda"	""	""	""	""	""
"0a8786c327274cae4dd2f1a4453b69dd"	"Animalia"	"Rotifera"	"Bdelloidea"	""	""	""	""
"0a8a242ea1d968ac302845a5943acfa2"	"Animalia"	"Arthropoda"	"Insecta"	"Coleoptera"	""	""	""
"0aa8623eae478ae7b82a60109ffd378e"	"Animalia"	"Arthropoda"	""	""	""	""	""
"0ac99ed97ab3454cd8b741fc50cbcc2f"	"Animalia"	"Arthropoda"	"Insecta"	""	""	""	""
"0ad1af8558cdc7abcf162d026c10c7ad"	"Animalia"	"Arthropoda"	""	""	""	""	""
"0ae3fbbed0cbbf76519514cd3fff77d6"	"Animalia"	""	""	""	""	""	""
"0af0fc91c34f87e477ba2bbf17b7e662"	"Animalia"	"Arthropoda"	"Arachnida"	"Araneae"	""	""	""
"0af11131182177fa73c3f4ab4e6a2455"	"Animalia"	"Arthropoda"	"Insecta"	"Lepidoptera"	""	""	""
"0b072dbafb9908894d160bcd0e672aca"	"Animalia"	"Nematoda"	""	""	""	""	""
"0b0ca922312c293138a91aae12af7302"	"Animalia"	"Rotifera"	"Bdelloidea"	""	""	""	""
"0b103defc56a8a8c67f0617b770490f1"	"Animalia"	"Arthropoda"	"Arachnida"	""	""	""	""
"0b22c61dcadf130a401ceeeafec5f652"	"Animalia"	"Arthropoda"	"Insecta"	"Coleoptera"	""	""	""
"0b3f23a0675b0e174faf63c97a1f666c"	"Animalia"	"Arthropoda"	"Insecta"	"Diptera"	""	""	""
"0b44f79dd95a6953bd2bb4353898c43e"	"Animalia"	"Arthropoda"	"Insecta"	"Lepidoptera"	""	""	""
"0b62e04ba1fda58a3aaf59f5604270c2"	"Animalia"	"Arthropoda"	"Insecta"	"Hymenoptera"	"Braconidae"	"Aphidius"	""
"0b7f32c92a474ccf3b4fc2ab711673bf"	"Animalia"	"Arthropoda"	"Insecta"	""	""	""	""
"0b8df9af1368f0ad44b5f2981de125d9"	"Animalia"	"Arthropoda"	"Arachnida"	"Araneae"	""	""	""
"0b9eba9a41895cf0d9dadc05340ba6d8"	"Animalia"	"Arthropoda"	"Insecta"	"Diptera"	""	""	""
"0ba177e21704a532e9d2a7d6b041ff26"	"Animalia"	"Arthropoda"	"Insecta"	"Lepidoptera"	""	""	""
"0ba29eb4f09e9307e64f7637d268688b"	"Animalia"	"Arthropoda"	"Insecta"	"Lepidoptera"	""	""	""
"0ba407d72de04c68e8b7fe7e30f9c41b"	"Animalia"	""	""	""	""	""	""
"0ba42ccadd57e06217de55aaf11d4867"	"Animalia"	"Arthropoda"	"Insecta"	"Lepidoptera"	""	""	""
"0ba8899f95085a7a984fc342bd382af9"	"Animalia"	"Arthropoda"	""	""	""	""	""
"0baf9315071759f534b0da969f72897e"	"Animalia"	"Arthropoda"	"Insecta"	"Lepidoptera"	""	""	""
"0bb08f07ab3d293ad980ccd43f2b120e"	"Animalia"	"Arthropoda"	"Insecta"	"Lepidoptera"	""	""	""
"0bc3ad60bb9d3e606ae056eee757e421"	"Animalia"	"Arthropoda"	"Arachnida"	"Araneae"	"Theridiidae"	"Theridion"	"Theridion grallator"
"0bd2b41424f621674a96a4f2b7b2c09d"	"Animalia"	"Arthropoda"	"Insecta"	"Lepidoptera"	"Schreckensteiniidae"	"Schreckensteinia"	""
"0bd5700410c86f365c6776e2f1b0ef3f"	"Animalia"	"Arthropoda"	"Insecta"	"Lepidoptera"	""	""	""
"0bdb68ceff896b03ea5aa609f2e20fc4"	"Animalia"	"Arthropoda"	"Insecta"	"Lepidoptera"	""	""	""
"0be053e2c09507e44f6f041ca308cf73"	"Animalia"	"Arthropoda"	""	""	""	""	""
"0c019f51f9bb05f8f28c910a799f640a"	"Animalia"	"Arthropoda"	"Insecta"	"Diptera"	""	""	""
"0c12183024feab8e5e642825f4774ea0"	"Animalia"	"Arthropoda"	"Insecta"	""	""	""	""
"0c1337102b4f5dde484faa7d4edd9be0"	"Animalia"	"Arthropoda"	""	""	""	""	""
"0c3fdb734ce356ee6b68d5ff75527808"	"Animalia"	"Arthropoda"	""	""	""	""	""
"0c42b2592b3895f4f16d58eb51d87a99"	"Animalia"	"Arthropoda"	"Insecta"	"Lepidoptera"	""	""	""
"0c56c42268cfb097c4c6359203b7f4bc"	"Animalia"	"Arthropoda"	"Insecta"	""	""	""	""
"0c6cce5d2258d4747d45a1d30eea92f4"	"Animalia"	"Arthropoda"	"Insecta"	"Hemiptera"	"Delphacidae"	""	""
"0c8dadce9b7c38b1290e63550c2e3797"	"Animalia"	""	""	""	""	""	""
